Date,Close_fund,Close_index
1993-01-29,43.9375,438.779999
1993-02-01,44.25,442.519989
1993-02-02,44.34375,442.549988
1993-02-03,44.8125,447.200012
1993-02-04,45.0,449.559998
1993-02-05,44.96875,448.929993
1993-02-08,44.96875,447.850006
1993-02-09,44.65625,445.329987
1993-02-10,44.71875,446.230011
1993-02-11,44.9375,447.660004
1993-02-12,44.59375,444.579987
1993-02-16,43.46875,433.910004
1993-02-17,43.4375,433.299988
1993-02-18,43.40625,431.899994
1993-02-19,43.5625,434.220001
1993-02-22,43.71875,435.23999
1993-02-23,43.6875,434.799988
1993-02-24,44.25,440.869995
1993-02-25,44.34375,442.339996
1993-02-26,44.40625,443.380005
1993-03-01,44.28125,442.01001
1993-03-02,44.9375,447.899994
1993-03-03,45.125,449.26001
1993-03-04,44.875,447.339996
1993-03-05,44.75,446.109985
1993-03-08,45.75,454.709991
1993-03-09,45.59375,454.399994
1993-03-10,45.6875,456.329987
1993-03-11,45.5625,453.720001
1993-03-12,45.09375,449.829987
1993-03-15,45.3125,451.429993
1993-03-16,45.3125,451.369995
1993-03-17,45.03125,448.309998
1993-03-18,45.3125,451.890015
1993-03-19,45.03125,450.179993
1993-03-22,44.78125,448.880005
1993-03-23,44.875,448.76001
1993-03-24,44.875,448.070007
1993-03-25,45.15625,450.880005
1993-03-26,44.90625,447.779999
1993-03-29,45.09375,450.769989
1993-03-30,45.21875,451.970001
1993-03-31,45.1875,451.670013
1993-04-01,45.03125,450.299988
1993-04-02,44.09375,441.390015
1993-04-05,44.3125,442.290009
1993-04-06,44.1875,441.160004
1993-04-07,44.34375,442.730011
1993-04-08,44.28125,441.839996
1993-04-12,44.90625,448.369995
1993-04-13,45.0,449.220001
1993-04-14,44.9375,448.660004
1993-04-15,44.9375,448.399994
1993-04-16,44.9375,448.940002
1993-04-19,44.75,447.459991
1993-04-20,44.53125,445.100006
1993-04-21,44.5,443.630005
1993-04-22,43.9375,439.459991
1993-04-23,43.75,437.029999
1993-04-26,43.40625,433.540009
1993-04-27,43.875,438.01001
1993-04-28,43.78125,438.019989
1993-04-29,43.96875,438.890015
1993-04-30,44.03125,440.190002
1993-05-03,44.3125,442.459991
1993-05-04,44.46875,444.049988
1993-05-05,44.59375,444.519989
1993-05-06,44.4375,443.26001
1993-05-07,44.34375,442.309998
1993-05-10,44.4375,442.799988
1993-05-11,44.625,444.359985
1993-05-12,44.5625,444.799988
1993-05-13,44.03125,439.230011
1993-05-14,44.0,439.559998
1993-05-17,44.15625,440.369995
